"","X.1","X","Address","Zip","Date","Event","Price","Beds","Baths","SqrFt","LotSize","Time","DaysOnMarket","RollTimeAv"
"147",12597,3308,"16 Helios Ct, Newark, DE",19711,2009-06-28,"Listed for sale",209900,3,2,2025,5227,594,64,127.2
"148",1737,10469,"112 Kingswood Rd, Newark, DE",19713,2009-06-29,"Sold",185000,4,1,1200,7840,595,44,122.666666666667
"149",12475,5160,"73 Avignon Dr, Newark, DE",19702,2009-07-07,"Sold",244900,4,3,2003,9583,603,91,123.066666666667
"150",7099,12858,"12 Gurnsey Dr, Newark, DE",19713,2009-07-08,"Sold",196000,3,1,1600,7840,604,82,119.6
"151",210,15750,"127 Melodic Dr, Newark, DE",19713,2009-07-10,"Listed for sale",179900,2,1,925,9147,606,74,125.4
"152",7382,21114,"115 Thomas Ln, Newark, DE",19711,2009-07-12,"Listed for sale",299900,3,3,1600,2178,608,37,113.2
"153",6038,21322,"138 Creekmont Ct, Newark, DE",19702,2009-07-17,"Listed for sale",234900,2,2.5,1500,2613,613,257,122.933333333333
"154",8893,13978,"3 Edgebrooke Way, Newark, DE",19702,2009-07-27,"Sold",228000,5,2,1700,6969,623,86,115.866666666667
"155",8634,14992,"819 Bradford Ln, Newark, DE",19711,2009-07-28,"Sold",240000,4,1.5,1675,9147,624,66,108.333333333333
"156",10578,22385,"36 Lisa Dr, Newark, DE",19702,2009-07-30,"Sold",194900,2,2.5,1800,2178,626,188,108.466666666667
"157",5925,11556,"40 Argyle Rd, Newark, DE",19713,2009-07-30,"Listed for sale",168000,3,1.5,1500,8712,626,358,141.066666666667
"158",12085,20314,"407 Kinross Dr, Newark, DE",19711,2009-07-31,"Sold",260000,4,2.5,1950,7405,627,101,111.066666666667
"159",13553,2649,"102 Stature Dr, Newark, DE",19713,2009-08-06,"Listed for sale",249000,4,3,2200,7840,633,71,122.133333333333
"160",13690,3663,"21 White Dr, Newark, DE",19702,2009-08-07,"Sold",250000,4,3,2225,8712,634,297,119.8
"161",12095,21277,"13 Woodcrest Ct, Newark, DE",19702,2009-08-12,"Sold",220000,3,3,1950,2613,639,175,121.266666666667
"162",1074,8574,"16 Metten Rd, Newark, DE",19713,2009-08-13,"Listed for sale",138900,3,1,1125,6969,640,32,115.2
"163",2200,19537,"209 Fieldstone Ln, Newark, DE",19702,2009-08-16,"Listed for sale",164900,2,3,1225,1742,643,100,118.933333333333
"164",7383,21115,"115 Thomas Ln, Newark, DE",19711,2009-08-18,"Sold",299900,3,3,1600,2178,645,37,119.133333333333
"165",11773,16128,"18 Allison Ln, Newark, DE",19711,2009-08-19,"Sold",180000,4,3,1925,6969,646,380,141.466666666667
"166",7112,12915,"121 Stature Dr, Newark, DE",19713,2009-08-21,"Sold",168000,4,2,1600,7840,648,111,137.066666666667
"167",2378,12703,"1111 Blair Ct, Newark, DE",19711,2009-08-23,"Listed for sale",148000,3,1.5,1250,2178,650,37,117
"168",8696,21125,"117 Lauren Pl, Newark, DE",19702,2009-08-23,"Listed for sale",199900,3,2,1675,3049,650,102,101
"169",14159,2705,"105 Split Rail Ct, Newark, DE",19702,2009-08-24,"Sold",286000,4,2.5,2350,9583,651,130,139.2
"170",8831,11700,"46 Odaniel Ave, Newark, DE",19711,2009-08-28,"Sold",195000,4,3,1700,6534,655,63,124.666666666667
"171",12599,3310,"16 Helios Ct, Newark, DE",19711,2009-08-31,"Sold",2e+05,3,2,2025,5227,658,64,127.666666666667
"172",88,18221,"8 Strauss Way, Newark, DE",19702,2009-09-03,"Listed for sale",160000,2,1,783,6000,661,231,109.866666666667
"173",8547,11468,"343 N Dillwyn Rd, Newark, DE",19711,2009-09-04,"Sold",255000,4,4,1675,9583,662,98,131.266666666667
"174",2219,19666,"223 Fieldstone Ln, Newark, DE",19702,2009-09-05,"Listed for sale",172900,2,2.5,1225,1742,663,276,121
"175",1076,8576,"16 Metten Rd, Newark, DE",19713,2009-09-14,"Sold",123500,3,1,1125,6969,672,32,127.333333333333
"176",6085,18332,"9 Needleleaf Dr, Newark, DE",19702,2009-09-17,"Sold",245000,3,1.5,1512,10454,675,109,129.133333333333
"177",11140,17461,"44 Helios Ct, Newark, DE",19711,2009-09-19,"Listed for sale",219500,3,1.5,1850,2178,677,59,123.666666666667
