"","X.1","X","Address","Zip","Date","Event","Price","Beds","Baths","SqrFt","LotSize","Time","DaysOnMarket","RollTimeAv"
"91",3451,11070,"211 Brennen Dr, Newark, DE",19713,2016-06-29,"Listed for sale",180000,3,2,1325,7841,26,70,89.0666666666667
"92",8878,13777,"25 N Skyward Dr, Newark, DE",19713,2016-06-29,"Listed for sale",214900,3,2,1700,7405,26,54,90.0666666666667
"93",3347,20335,"42 Auckland Dr, Newark, DE",19702,2016-06-29,"Sold",170000,3,1.5,1300,6098,26,71,149.666666666667
"94",4640,14912,"8 Cauline Ct, Newark, DE",19711,2016-06-29,"Sold",225900,4,1.5,1400,8712,26,171,142.133333333333
"95",7537,13095,"136 Worral Dr, Newark, DE",19711,2016-06-30,"Sold",201000,4,1.5,1625,7840,27,113,138.666666666667
"96",14242,3282,"16 Boyds Valley Dr, Newark, DE",19711,2016-06-30,"Listed for sale",229900,3,3,2375,8276,27,201,99.0666666666667
"97",1091,8591,"16 Metten Rd, Newark, DE",19713,2016-06-30,"Sold",180000,3,1,1125,6969,27,219,147.2
"98",12166,10878,"163 Rockrose Dr, Newark, DE",19711,2016-06-30,"Sold",214900,3,2,1970,6970,27,152,150.733333333333
"99",998,8708,"196 Madison Dr, Newark, DE",19711,2016-06-30,"Sold",113000,3,1,1120,1742,27,62,147.8
"100",7007,8749,"20 Carole Rd, Newark, DE",19713,2016-06-30,"Sold",188000,3,1.5,1600,7840,27,65,143.733333333333
"101",10287,16639,"27 Sumac Ct, Newark, DE",19702,2016-06-30,"Listed for sale",269000,3,2.5,1800,8276,27,57,94.6
"102",6173,11427,"311 Darwin Dr, Newark, DE",19711,2016-06-30,"Listed for sale",224900,4,1.5,1525,8276,27,54,77.2666666666667
"103",13256,4760,"5 Donegal Ct, Newark, DE",19711,2016-06-30,"Sold",365000,4,3,2144,10454,27,78,129.533333333333
"104",1636,14570,"518 E Hanna Dr, Newark, DE",19702,2016-06-30,"Sold",212000,3,1.5,1175,9583,27,63,118.133333333333
"105",10997,10390,"1106 Mayflower Dr, Newark, DE",19711,2016-07-01,"Sold",247000,4,2,1850,7840,28,44,114.133333333333
"106",5105,19111,"137 Buckson Ct, Bear, DE",19701,2016-07-01,"Listed for sale",168000,3,1.5,1425,2178,28,264,92.5333333333333
"107",12370,1325,"31 Sheffield Manor Dr, Newark, DE",19711,2016-07-01,"Sold",197000,3,2,2000,6534,28,63,113.266666666667
"108",6638,20217,"38 N Merriment Dr, Newark, DE",19702,2016-07-01,"Sold",162000,4,1.5,1550,3049,28,93,101
"109",12750,1760,"5 Dempsey Dr, Newark, DE",19713,2016-07-01,"Sold",150000,4,2.5,2050,7405,28,237,113
"110",14502,7613,"6 Finn Ct, Newark, DE",19702,2016-07-01,"Listed for sale",374900,4,3,2500,8712,28,73,91.4666666666667
"111",5889,10038,"9 Chaucer Dr, Newark, DE",19713,2016-07-01,"Listed for sale",1e+05,4,2,1500,7500,28,13,84.9333333333333
"112",11089,12950,"1211 Yellowstone Dr, Newark, DE",19713,2016-07-05,"Listed for sale",205000,3,1.5,1850,7840,32,48,83.8666666666667
"113",9161,22440,"39 W Kyla Marie Dr, Newark, DE",19702,2016-07-05,"Listed for sale",189900,3,1.5,1700,2178,32,77,85.4666666666667
